,Paal,Nifal,Piel,Hifil,Hitpael,Hofal,Pual,Total,Common,Uncommon,Rank,Accompli,Inaccompli,Wayyiqtol,Impératif,Infinitif Absolu,Infinitif Construit,Participe Présent,Participe Présent Passif,Classe
שׁמן,3,0,0,2,0,0,0,5,5,0,824,2,0,2,1,0,0,0,0,Fort
גבל,3,0,0,2,0,0,0,5,5,0,825,2,2,0,1,0,0,0,0,Fort
קדח,5,0,0,0,0,0,0,5,5,0,826,3,0,0,0,0,1,1,0,ל׳׳ג
דלג,1,0,4,0,0,0,0,5,5,0,827,0,3,0,0,0,0,2,0,Fort
עקשׁ,0,1,3,1,0,0,0,5,5,0,828,1,1,1,0,0,0,2,0,פ׳׳ג
אלף,1,0,3,1,0,0,0,5,5,0,829,0,3,0,0,0,0,2,0,פ׳׳א
רעף,4,0,0,1,0,0,0,5,5,0,830,0,4,0,1,0,0,0,0,ע׳׳ג
דוח,0,0,0,4,0,0,0,4,4,0,831,1,3,0,0,0,0,0,0,ע׳׳וי
שׁתק,4,0,0,0,0,0,0,4,4,0,832,0,4,0,0,0,0,0,0,Fort
פער,4,0,0,0,0,0,0,4,4,0,833,4,0,0,0,0,0,0,0,ע׳׳ג
צפף,0,0,4,0,0,0,0,4,4,0,834,0,2,0,0,0,0,2,0,Fort
רהב,2,0,0,2,0,0,0,4,4,0,835,1,2,0,1,0,0,0,0,ע׳׳ג
דגל,2,2,0,0,0,0,0,4,4,0,836,0,1,0,0,0,0,2,1,Fort
נטל,3,0,1,0,0,0,0,4,4,0,837,1,1,1,0,0,0,1,0,פ׳׳נ
בלג,0,0,0,4,0,0,0,4,4,0,838,0,3,0,0,0,0,1,0,Fort
סוף,4,0,0,0,0,0,0,4,4,0,839,2,2,0,0,0,0,0,0,ע׳׳וי
נוב,3,0,1,0,0,0,0,4,4,0,840,0,4,0,0,0,0,0,0,פ׳׳נ
שׁקק,3,0,0,0,1,0,0,4,4,0,841,0,2,0,0,0,0,2,0,ע׳׳ע
מרץ,0,3,0,1,0,0,0,4,4,0,842,1,1,0,0,0,0,2,0,Fort
קהה,3,0,1,0,0,0,0,4,4,0,843,1,3,0,0,0,0,0,0,ע׳׳ע
חבה,1,3,0,0,0,0,0,4,4,0,844,1,0,0,1,0,2,0,0,ל׳׳ה
קלס,0,0,1,0,3,0,0,4,4,0,845,0,2,1,0,0,1,0,0,Fort
חדד,1,0,0,0,0,3,0,4,4,0,846,4,0,0,0,0,0,0,0,ע׳׳ע
נצץ,1,0,0,3,0,0,0,4,4,0,847,2,1,0,0,0,0,1,0,פ׳׳נ
אנק,2,2,0,0,0,0,0,4,4,0,848,0,1,0,1,0,1,1,0,פ׳׳א
פלשׁ,0,0,0,0,4,0,0,4,4,0,849,0,1,0,3,0,0,0,0,Fort
פושׁ,3,1,0,0,0,0,0,4,4,0,850,3,1,0,0,0,0,0,0,ע׳׳וי
כנה,0,0,4,0,0,0,0,4,4,0,851,0,4,0,0,0,0,0,0,ל׳׳ה
חקה,0,0,0,0,1,0,3,4,4,0,852,0,1,0,0,0,0,0,3,ל׳׳ה
זכך,3,0,0,1,0,0,0,4,4,0,853,4,0,0,0,0,0,0,0,Fort
ערר,1,0,2,0,1,0,0,4,4,0,854,0,1,0,2,1,0,0,0,ע׳׳ע
שׂגה,3,0,0,1,0,0,0,4,4,0,855,1,3,0,0,0,0,0,0,ל׳׳ה
סגד,4,0,0,0,0,0,0,4,4,0,856,0,3,1,0,0,0,0,0,Fort
שׂור,3,0,0,1,0,0,0,4,4,0,857,1,0,2,0,0,1,0,0,ע׳׳וי
יצע,0,0,0,2,0,2,0,4,4,0,858,0,4,0,0,0,0,0,0,פ׳׳וי
חתה,4,0,0,0,0,0,0,4,4,0,859,0,2,0,0,0,1,1,0,ל׳׳ה
צלע,4,0,0,0,0,0,0,4,4,0,860,0,0,0,0,0,0,4,0,ל׳׳ג
שׁחק,4,0,0,0,0,0,0,4,4,0,861,2,2,0,0,0,0,0,0,ע׳׳ג
מסה,0,0,0,4,0,0,0,4,4,0,862,1,2,1,0,0,0,0,0,ל׳׳ה
גרר,2,1,0,0,0,0,1,4,4,0,863,0,3,0,0,0,0,0,1,ע׳׳ע
אות,0,4,0,0,0,0,0,4,4,0,864,0,3,1,0,0,0,0,0,פ׳׳א
חנט,4,0,0,0,0,0,0,4,4,0,865,1,0,2,0,0,1,0,0,פ׳׳ג
שׁוף,4,0,0,0,0,0,0,4,4,0,866,0,4,0,0,0,0,0,0,ע׳׳וי
מאר,0,0,0,4,0,0,0,4,4,0,867,0,0,0,0,0,0,4,0,ע׳׳ג
אהל,2,0,1,1,0,0,0,4,4,0,868,0,2,2,0,0,0,0,0,פ׳׳א
קצע,0,0,0,1,0,1,2,4,4,0,869,0,1,0,0,0,0,0,3,ל׳׳ג
כמר,0,4,0,0,0,0,0,4,4,0,870,4,0,0,0,0,0,0,0,Fort
קטן,3,0,0,1,0,0,0,4,4,0,871,1,0,2,0,0,1,0,0,Fort
אזל,4,0,0,0,0,0,0,4,4,0,872,3,0,0,0,0,0,1,0,פ׳׳א
נכל,1,0,1,0,2,0,0,4,4,0,873,1,0,1,0,0,1,1,0,פ׳׳נ
נסח,3,1,0,0,0,0,0,4,4,0,874,1,3,0,0,0,0,0,0,פ׳׳נ
פלג,0,2,2,0,0,0,0,4,4,0,875,3,0,0,1,0,0,0,0,Fort
דאה,4,0,0,0,0,0,0,4,4,0,876,0,3,1,0,0,0,0,0,ל׳׳ה
בכר,0,0,2,1,0,0,1,4,4,0,877,0,2,0,0,0,1,1,0,Fort
פתל,0,3,0,0,1,0,0,4,4,0,878,1,1,0,0,0,0,2,0,Fort
סכר,1,2,1,0,0,0,0,4,4,0,879,1,1,1,0,0,0,1,0,Fort
תפר,3,0,1,0,0,0,0,4,4,0,880,1,0,1,0,0,1,1,0,Fort
נבב,4,0,0,0,0,0,0,4,4,0,881,0,0,0,0,0,0,0,4,פ׳׳נ
פוג,3,1,0,0,0,0,0,4,4,0,882,1,2,1,0,0,0,0,0,ע׳׳וי
ישׁם,4,0,0,0,0,0,0,4,4,0,883,0,3,1,0,0,0,0,0,פ׳׳וי
קרן,3,0,0,1,0,0,0,4,4,0,884,3,0,0,0,0,0,1,0,Fort
דחף,2,2,0,0,0,0,0,4,4,0,885,2,0,0,0,0,0,0,2,ע׳׳ג
חוד,4,0,0,0,0,0,0,4,4,0,886,1,1,0,2,0,0,0,0,ע׳׳וי
שׁגג,4,0,0,0,0,0,0,4,4,0,887,1,0,0,0,0,0,3,0,ע׳׳ע
בטא,1,0,3,0,0,0,0,4,4,0,888,0,1,1,0,0,1,1,0,ל׳׳א
נשׁת,2,1,0,0,0,0,0,3,3,0,889,3,0,0,0,0,0,0,0,פ׳׳נ
ערג,3,0,0,0,0,0,0,3,3,0,890,0,3,0,0,0,0,0,0,פ׳׳ג
מעך,2,0,0,0,0,0,1,3,3,0,891,1,0,0,0,0,0,0,2,ע׳׳ג
נפשׁ,0,3,0,0,0,0,0,3,3,0,892,0,1,2,0,0,0,0,0,פ׳׳נ
שׂדד,0,0,3,0,0,0,0,3,3,0,893,0,3,0,0,0,0,0,0,ע׳׳ע
תקף,3,0,0,0,0,0,0,3,3,0,894,0,3,0,0,0,0,0,0,Fort
צדה,2,1,0,0,0,0,0,3,3,0,895,2,0,0,0,0,0,1,0,ל׳׳ה
שׁדף,3,0,0,0,0,0,0,3,3,0,896,0,0,0,0,0,0,0,3,Fort
פור,0,0,0,3,0,0,0,3,3,0,897,2,1,0,0,0,0,0,0,ע׳׳וי
ירק,3,0,0,0,0,0,0,3,3,0,898,2,0,0,0,1,0,0,0,פ׳׳וי
שׂרע,2,0,0,0,1,0,0,3,3,0,899,0,0,0,0,0,1,0,2,ל׳׳ג
שׁוק,0,0,1,2,0,0,0,3,3,0,900,2,0,1,0,0,0,0,0,ע׳׳וי
חדה,2,0,1,0,0,0,0,3,3,0,901,0,2,1,0,0,0,0,0,ל׳׳ה
נאה,0,0,3,0,0,0,0,3,3,0,902,3,0,0,0,0,0,0,0,פ׳׳נ
גרם,1,0,2,0,0,0,0,3,3,0,903,1,2,0,0,0,0,0,0,Fort
מחא,3,0,0,0,0,0,0,3,3,0,904,0,2,0,0,0,1,0,0,ל׳׳א
חלשׁ,3,0,0,0,0,0,0,3,3,0,905,0,0,2,0,0,0,1,0,פ׳׳ג
ישׁט,0,0,0,3,0,0,0,3,3,0,906,0,1,2,0,0,0,0,0,פ׳׳וי
רתח,0,0,1,1,0,0,1,3,3,0,907,1,1,0,1,0,0,0,0,ל׳׳ג
באר,0,0,3,0,0,0,0,3,3,0,908,1,0,0,1,1,0,0,0,ע׳׳ג
צוף,1,0,0,2,0,0,0,3,3,0,909,2,0,1,0,0,0,0,0,ע׳׳וי
לבט,0,3,0,0,0,0,0,3,3,0,910,0,3,0,0,0,0,0,0,Fort
סרח,2,1,0,0,0,0,0,3,3,0,911,1,1,0,0,0,0,1,0,ל׳׳ג
שׂרט,2,1,0,0,0,0,0,3,3,0,912,0,2,0,0,1,0,0,0,Fort
מגן,0,0,3,0,0,0,0,3,3,0,913,1,2,0,0,0,0,0,0,Fort
פרם,3,0,0,0,0,0,0,3,3,0,914,0,2,0,0,0,0,0,1,Fort
דלח,3,0,0,0,0,0,0,3,3,0,915,0,2,1,0,0,0,0,0,ל׳׳ג
מרק,2,0,0,0,0,0,1,3,3,0,916,1,0,0,1,0,0,0,1,Fort
רפס,1,0,0,0,2,0,0,3,3,0,917,0,0,1,1,0,0,1,0,Fort
רבך,0,0,0,0,0,3,0,3,3,0,918,0,0,0,0,0,0,0,3,Fort
שׁזף,3,0,0,0,0,0,0,3,3,0,919,3,0,0,0,0,0,0,0,Fort
קרר,0,0,1,2,0,0,0,3,3,0,920,1,0,0,0,0,1,1,0,ע׳׳ע
בדד,3,0,0,0,0,0,0,3,3,0,921,0,0,0,0,0,0,3,0,ע׳׳ע
עלס,1,1,0,0,1,0,0,3,3,0,922,1,2,0,0,0,0,0,0,פ׳׳ג
שׁגח,0,0,0,3,0,0,0,3,3,0,923,1,1,0,0,0,0,1,0,ל׳׳ג
רפד,1,0,2,0,0,0,0,3,3,0,924,1,1,0,1,0,0,0,0,Fort
קפא,2,0,0,1,0,0,0,3,3,0,925,1,1,0,0,0,0,1,0,ל׳׳א
קטל,3,0,0,0,0,0,0,3,3,0,926,0,3,0,0,0,0,0,0,Fort
צנף,3,0,0,0,0,0,0,3,3,0,927,0,2,0,0,1,0,0,0,Fort
נסס,1,0,0,0,2,0,0,3,3,0,928,0,0,0,0,0,1,2,0,פ׳׳נ
שׂחה,2,0,0,1,0,0,0,3,3,0,929,0,1,0,0,0,1,1,0,ל׳׳ה
נשׁב,1,0,0,2,0,0,0,3,3,0,930,1,1,1,0,0,0,0,0,פ׳׳נ
עמם,2,0,0,0,0,1,0,3,3,0,931,2,1,0,0,0,0,0,0,פ׳׳ג
כלל,3,0,0,0,0,0,0,3,3,0,932,3,0,0,0,0,0,0,0,ע׳׳ע
נשׂק,0,1,0,2,0,0,0,3,3,0,933,2,1,0,0,0,0,0,0,פ׳׳נ
קמץ,3,0,0,0,0,0,0,3,3,0,934,3,0,0,0,0,0,0,0,Fort
טפל,3,0,0,0,0,0,0,3,3,0,935,1,0,1,0,0,0,1,0,Fort
נהה,2,1,0,0,0,0,0,3,3,0,936,1,0,1,1,0,0,0,0,פ׳׳נ
ענק,1,0,0,2,0,0,0,3,3,0,937,1,1,0,0,1,0,0,0,פ׳׳ג
חצץ,1,0,1,0,0,0,1,3,3,0,938,1,0,0,0,0,0,2,0,פ׳׳ג
מכך,1,1,0,0,0,1,0,3,3,0,939,1,1,1,0,0,0,0,0,Fort
רעד,1,0,0,2,0,0,0,3,3,0,940,0,0,1,0,0,0,2,0,ע׳׳ג
חסד,0,0,1,0,2,0,0,3,3,0,941,0,3,0,0,0,0,0,0,פ׳׳ג
אלח,0,3,0,0,0,0,0,3,3,0,942,2,0,0,0,0,0,1,0,פ׳׳א
בוך,0,3,0,0,0,0,0,3,3,0,943,2,0,0,0,0,0,1,0,ע׳׳וי
עמר,0,0,1,0,2,0,0,3,3,0,944,1,1,0,0,0,0,1,0,פ׳׳ג
רחף,1,0,2,0,0,0,0,3,3,0,945,1,1,0,0,0,0,1,0,ע׳׳ג
כאה,0,2,0,1,0,0,0,3,3,0,946,1,0,0,0,0,1,1,0,ל׳׳ה
לחשׁ,0,0,1,0,2,0,0,3,3,0,947,0,1,0,0,0,0,2,0,ע׳׳ג
יחד,2,0,1,0,0,0,0,3,3,0,948,0,2,0,1,0,0,0,0,פ׳׳וי
גוד,3,0,0,0,0,0,0,3,3,0,949,0,3,0,0,0,0,0,0,ע׳׳וי
צנח,3,0,0,0,0,0,0,3,3,0,950,0,0,3,0,0,0,0,0,ל׳׳ג
זמן,0,0,0,0,0,0,3,3,3,0,951,0,0,0,0,0,0,0,3,Fort
עשׁשׁ,3,0,0,0,0,0,0,3,3,0,952,3,0,0,0,0,0,0,0,ע׳׳ע
לעע,3,0,0,0,0,0,0,3,3,0,953,2,1,0,0,0,0,0,0,ע׳׳ע
פצץ,0,0,2,0,1,0,0,3,3,0,954,0,1,2,0,0,0,0,0,Fort
תוה,0,0,1,2,0,0,0,3,3,0,955,2,0,1,0,0,0,0,0,ע׳׳וי
זוע,2,0,1,0,0,0,0,3,3,0,956,1,1,0,0,0,0,1,0,ע׳׳וי
פזז,1,0,1,0,0,1,0,3,3,0,957,0,0,1,0,0,0,1,1,ע׳׳ע
צער,3,0,0,0,0,0,0,3,3,0,958,0,2,0,0,0,0,1,0,ע׳׳ג
לפת,1,2,0,0,0,0,0,3,3,0,959,0,1,2,0,0,0,0,0,Fort
דאב,3,0,0,0,0,0,0,3,3,0,960,2,0,0,0,0,1,0,0,ע׳׳ג
גלע,0,0,0,0,3,0,0,3,3,0,961,0,2,0,0,0,1,0,0,ל׳׳ג
חטף,3,0,0,0,0,0,0,3,3,0,962,1,1,0,0,0,1,0,0,פ׳׳ג
משׁה,1,0,0,2,0,0,0,3,3,0,963,1,2,0,0,0,0,0,0,ל׳׳ה
צלה,3,0,0,0,0,0,0,3,3,0,964,0,2,0,0,0,1,0,0,ל׳׳ה
עיט,3,0,0,0,0,0,0,3,3,0,965,0,0,3,0,0,0,0,0,ע׳׳וי
דפק,2,0,0,0,1,0,0,3,3,0,966,1,0,0,0,0,0,2,0,Fort
זחל,3,0,0,0,0,0,0,3,3,0,967,1,0,0,0,0,0,2,0,ע׳׳ג
ידד,3,0,0,0,0,0,0,3,3,0,968,3,0,0,0,0,0,0,0,פ׳׳וי
יבם,0,0,3,0,0,0,0,3,3,0,969,1,0,0,1,0,1,0,0,פ׳׳וי
תקן,1,0,2,0,0,0,0,3,3,0,970,1,0,0,0,0,2,0,0,Fort
תאב,2,0,1,0,0,0,0,3,3,0,971,2,0,0,0,0,0,1,0,ע׳׳ג
גהר,3,0,0,0,0,0,0,3,3,0,972,0,0,3,0,0,0,0,0,ע׳׳ג
עבה,3,0,0,0,0,0,0,3,3,0,973,3,0,0,0,0,0,0,0,ל׳׳ה
רוד,2,0,0,1,0,0,0,3,3,0,974,1,1,0,0,0,0,1,0,ע׳׳וי
אדר,0,2,0,1,0,0,0,3,3,0,975,0,1,0,0,0,0,2,0,פ׳׳א
דלף,3,0,0,0,0,0,0,3,3,0,976,2,1,0,0,0,0,0,0,Fort
כשׁר,2,0,0,1,0,0,0,3,3,0,977,1,1,0,0,1,0,0,0,Fort
פצע,3,0,0,0,0,0,0,3,3,0,978,1,0,0,0,1,0,0,1,ל׳׳ג
שׂפק,2,0,0,1,0,0,0,3,3,0,979,0,3,0,0,0,0,0,0,Fort
אגר,3,0,0,0,0,0,0,3,3,0,980,1,1,0,0,0,0,1,0,פ׳׳א
תלא,3,0,0,0,0,0,0,3,3,0,981,1,0,0,0,0,0,0,2,ל׳׳א
קשׁח,0,0,0,2,0,0,0,2,2,0,982,1,1,0,0,0,0,0,0,ל׳׳ג
גרס,1,0,0,1,0,0,0,2,2,0,983,1,0,1,0,0,0,0,0,Fort
סחף,1,1,0,0,0,0,0,2,2,0,984,1,0,0,0,0,0,1,0,ע׳׳ג
ימר,0,0,0,1,1,0,0,2,2,0,985,1,1,0,0,0,0,0,0,פ׳׳וי
זחח,0,2,0,0,0,0,0,2,2,0,986,0,2,0,0,0,0,0,0,ע׳׳ע
גשׁשׁ,0,0,2,0,0,0,0,2,2,0,987,0,2,0,0,0,0,0,0,ע׳׳ע
זרם,1,0,0,0,0,0,0,2,1,1,988,2,0,0,0,0,0,0,0,Fort
רעץ,2,0,0,0,0,0,0,2,2,0,989,0,1,1,0,0,0,0,0,ע׳׳ג
דדה,0,0,0,0,2,0,0,2,2,0,990,0,2,0,0,0,0,0,0,ל׳׳ה
דור,2,0,0,0,0,0,0,2,2,0,991,0,0,0,1,0,1,0,0,ע׳׳וי
כסח,2,0,0,0,0,0,0,2,2,0,992,0,0,0,0,0,0,0,2,ל׳׳ג
נהק,2,0,0,0,0,0,0,2,2,0,993,0,2,0,0,0,0,0,0,פ׳׳נ
דגר,2,0,0,0,0,0,0,2,2,0,994,2,0,0,0,0,0,0,0,Fort
נדה,0,0,2,0,0,0,0,2,2,0,995,0,0,0,0,0,0,2,0,פ׳׳נ
נשׁף,2,0,0,0,0,0,0,2,2,0,996,2,0,0,0,0,0,0,0,פ׳׳נ
ארה,2,0,0,0,0,0,0,2,2,0,997,2,0,0,0,0,0,0,0,פ׳׳א
חמק,1,0,0,0,1,0,0,2,2,0,998,1,1,0,0,0,0,0,0,פ׳׳ג
אפד,2,0,0,0,0,0,0,2,2,0,999,1,0,1,0,0,0,0,0,פ׳׳א
טען,1,0,0,0,0,0,1,2,2,0,1000,0,0,0,1,0,0,0,1,ע׳׳ג
שׁחד,2,0,0,0,0,0,0,2,2,0,1001,0,0,1,1,0,0,0,0,ע׳׳ג
בזר,1,0,1,0,0,0,0,2,2,0,1002,1,1,0,0,0,0,0,0,Fort
שׁחה,1,0,0,1,0,0,0,2,2,0,1003,0,1,0,1,0,0,0,0,ל׳׳ה
צרח,1,0,0,1,0,0,0,2,2,0,1004,0,1,0,0,0,0,1,0,ל׳׳ג
גמא,0,0,1,1,0,0,0,2,2,0,1005,0,1,0,1,0,0,0,0,ל׳׳א
שׁלב,0,0,0,0,0,0,2,2,2,0,1006,0,0,0,0,0,0,0,2,Fort
לשׁן,0,0,1,1,0,0,0,2,2,0,1007,0,1,0,0,0,0,1,0,Fort
נוה,1,0,0,1,0,0,0,2,2,0,1008,0,2,0,0,0,0,0,0,פ׳׳נ
כוה,0,2,0,0,0,0,0,2,2,0,1009,0,2,0,0,0,0,0,0,ע׳׳וי
רשׁשׁ,0,0,1,0,0,0,1,2,2,0,1010,1,1,0,0,0,0,0,0,ע׳׳ע
עשׁת,1,0,0,0,1,0,0,2,2,0,1011,1,1,0,0,0,0,0,0,פ׳׳ג
קרס,2,0,0,0,0,0,0,2,2,0,1012,1,0,0,0,0,0,1,0,Fort
שׁבץ,0,0,1,0,0,0,1,2,2,0,1013,1,0,0,0,0,0,0,1,Fort
זקף,2,0,0,0,0,0,0,2,2,0,1014,0,0,0,0,0,0,2,0,Fort
פשׂק,1,0,1,0,0,0,0,2,2,0,1015,0,0,1,0,0,0,1,0,Fort
חתל,0,0,0,0,0,1,1,2,2,0,1016,1,0,0,0,1,0,0,0,פ׳׳ג
ניר,2,0,0,0,0,0,0,2,2,0,1017,0,0,0,2,0,0,0,0,פ׳׳נ
נאר,0,0,2,0,0,0,0,2,2,0,1018,2,0,0,0,0,0,0,0,פ׳׳נ
דמע,2,0,0,0,0,0,0,2,2,0,1019,0,1,0,0,1,0,0,0,ל׳׳ג
סמר,1,0,1,0,0,0,0,2,2,0,1020,1,1,0,0,0,0,0,0,Fort
רכס,2,0,0,0,0,0,0,2,2,0,1021,0,1,1,0,0,0,0,0,Fort
טפח,0,0,2,0,0,0,0,2,2,0,1022,2,0,0,0,0,0,0,0,ל׳׳ג
רקב,2,0,0,0,0,0,0,2,2,0,1023,0,2,0,0,0,0,0,0,Fort
שׁרה,1,0,1,0,0,0,0,2,2,0,1024,1,1,0,0,0,0,0,0,ל׳׳ה
מגר,1,0,1,0,0,0,0,2,2,0,1025,1,0,0,0,0,0,0,1,Fort
תעע,0,0,1,0,1,0,0,2,2,0,1026,0,0,0,0,0,0,2,0,ע׳׳ע
שׂיב,2,0,0,0,0,0,0,2,2,0,1027,1,0,0,0,0,0,1,0,ע׳׳וי
גלשׁ,2,0,0,0,0,0,0,2,2,0,1028,2,0,0,0,0,0,0,0,Fort
תאם,0,0,0,2,0,0,0,2,2,0,1029,0,0,0,0,0,0,2,0,ע׳׳ג
בעט,2,0,0,0,0,0,0,2,2,0,1030,0,1,1,0,0,0,0,0,ע׳׳ג
אבס,2,0,0,0,0,0,0,2,2,0,1031,0,0,0,0,0,0,0,2,פ׳׳א
שׂיד,2,0,0,0,0,0,0,2,2,0,1032,2,0,0,0,0,0,0,0,ע׳׳וי
בדא,2,0,0,0,0,0,0,2,2,0,1033,1,0,0,0,0,0,1,0,ל׳׳א
פצל,0,0,2,0,0,0,0,2,2,0,1034,1,0,1,0,0,0,0,0,Fort
זנב,0,0,2,0,0,0,0,2,2,0,1035,1,0,1,0,0,0,0,0,Fort
חסם,2,0,0,0,0,0,0,2,2,0,1036,0,1,0,0,0,0,1,0,פ׳׳ג
כבר,0,0,0,2,0,0,0,2,2,0,1037,0,1,0,0,0,0,1,0,Fort
קצב,2,0,0,0,0,0,0,2,2,0,1038,0,0,1,0,0,0,0,1,Fort
עוק,1,0,0,1,0,0,0,2,2,0,1039,0,1,0,0,0,0,1,0,ע׳׳וי
בצק,2,0,0,0,0,0,0,2,2,0,1040,2,0,0,0,0,0,0,0,Fort
שׂגא,0,0,0,2,0,0,0,2,2,0,1041,0,1,0,0,0,0,1,0,ל׳׳א
תאה,0,0,2,0,0,0,0,2,2,0,1042,0,2,0,0,0,0,0,0,ל׳׳ה
מסר,1,1,0,0,0,0,0,2,2,0,1043,0,0,1,0,0,1,0,0,Fort
שׂרג,0,0,0,0,1,0,1,2,2,0,1044,0,2,0,0,0,0,0,0,Fort
חנק,0,1,1,0,0,0,0,2,2,0,1045,0,0,1,0,0,0,1,0,פ׳׳ג
ירט,2,0,0,0,0,0,0,2,2,0,1046,1,1,0,0,0,0,0,0,פ׳׳וי
סבך,1,0,0,0,0,0,1,2,2,0,1047,0,1,0,0,0,0,0,1,Fort
געה,2,0,0,0,0,0,0,2,2,0,1048,0,1,0,0,1,0,0,0,ל׳׳ה
שׂרה,2,0,0,0,0,0,0,2,2,0,1049,2,0,0,0,0,0,0,0,ל׳׳ה
עוץ,2,0,0,0,0,0,0,2,2,0,1050,0,0,0,2,0,0,0,0,ע׳׳וי
מרא,1,0,0,1,0,0,0,2,2,0,1051,0,1,0,0,0,0,1,0,ל׳׳א
להם,0,0,0,0,2,0,0,2,2,0,1052,0,0,0,0,0,0,2,0,ע׳׳ג
פחז,2,0,0,0,0,0,0,2,2,0,1053,0,0,0,0,0,0,2,0,ע׳׳ג
טרד,2,0,0,0,0,0,0,2,2,0,1054,0,0,0,0,0,0,2,0,Fort
רתק,0,1,0,0,0,0,1,2,2,0,1055,1,1,0,0,0,0,0,0,Fort
דחק,2,0,0,0,0,0,0,2,2,0,1056,0,1,0,0,0,0,1,0,ע׳׳ג
פגר,0,0,2,0,0,0,0,2,2,0,1057,2,0,0,0,0,0,0,0,Fort
כרר,0,0,2,0,0,0,0,2,2,0,1058,0,0,0,0,0,0,2,0,ע׳׳ע
תפף,1,0,1,0,0,0,0,2,2,0,1059,0,0,0,0,0,0,2,0,Fort
אבק,0,2,0,0,0,0,0,2,2,0,1060,0,0,1,0,0,1,0,0,פ׳׳א
דחח,0,2,0,0,0,0,0,2,2,0,1061,0,2,0,0,0,0,0,0,ע׳׳ע
ציר,1,0,0,0,1,0,0,2,2,0,1062,0,0,1,0,0,0,1,0,ע׳׳וי
קור,2,0,0,0,0,0,0,2,2,0,1063,2,0,0,0,0,0,0,0,ע׳׳וי
סמם,0,0,0,2,0,0,0,2,2,0,1064,0,1,1,0,0,0,0,0,Fort
יגב,2,0,0,0,0,0,0,2,2,0,1065,0,0,0,0,0,0,2,0,פ׳׳וי
רזה,1,1,0,0,0,0,0,2,2,0,1066,1,1,0,0,0,0,0,0,ל׳׳ה
קרם,2,0,0,0,0,0,0,2,2,0,1067,1,0,1,0,0,0,0,0,Fort
דשׁא,1,0,0,1,0,0,0,2,2,0,1068,1,1,0,0,0,0,0,0,ל׳׳א
שׁפה,0,1,0,0,0,0,1,2,2,0,1069,1,0,0,0,0,0,1,0,ל׳׳ה
בזא,2,0,0,0,0,0,0,2,2,0,1070,2,0,0,0,0,0,0,0,ל׳׳א
קמל,2,0,0,0,0,0,0,2,2,0,1071,2,0,0,0,0,0,0,0,Fort
כסם,2,0,0,0,0,0,0,2,2,0,1072,0,1,0,0,1,0,0,0,Fort
בלק,1,0,0,0,0,0,1,2,2,0,1073,0,0,0,0,0,0,1,1,Fort
שׂוך,2,0,0,0,0,0,0,2,2,0,1074,1,0,0,0,0,0,1,0,ע׳׳וי
ערק,2,0,0,0,0,0,0,2,2,0,1075,0,0,0,0,0,0,2,0,פ׳׳ג
ערל,1,1,0,0,0,0,0,2,2,0,1076,1,0,0,1,0,0,0,0,פ׳׳ג
בתר,1,0,1,0,0,0,0,2,2,0,1077,1,0,1,0,0,0,0,0,Fort
רפשׂ,1,1,0,0,0,0,0,2,2,0,1078,0,1,0,0,0,0,1,0,Fort
גוז,2,0,0,0,0,0,0,2,2,0,1079,1,0,1,0,0,0,0,0,ע׳׳וי
קמט,1,0,0,0,0,0,1,2,2,0,1080,1,0,1,0,0,0,0,0,Fort
צבה,1,0,0,1,0,0,0,2,2,0,1081,1,0,0,0,0,1,0,0,ל׳׳ה
עתד,0,0,1,0,1,0,0,2,2,0,1082,1,0,0,1,0,0,0,0,פ׳׳ג
מלק,2,0,0,0,0,0,0,2,2,0,1083,2,0,0,0,0,0,0,0,Fort
ענד,2,0,0,0,0,0,0,2,2,0,1084,0,1,0,1,0,0,0,0,פ׳׳ג
נאק,2,0,0,0,0,0,0,2,2,0,1085,1,1,0,0,0,0,0,0,פ׳׳נ
טוה,2,0,0,0,0,0,0,2,2,0,1086,2,0,0,0,0,0,0,0,ע׳׳וי
אנן,0,0,0,0,2,0,0,2,2,0,1087,0,1,0,0,0,0,1,0,פ׳׳א
עפל,0,0,0,1,0,0,1,2,2,0,1088,1,0,1,0,0,0,0,0,פ׳׳ג
מוק,0,0,0,1,0,0,0,1,1,0,1089,0,1,0,0,0,0,0,0,ע׳׳וי
כמה,1,0,0,0,0,0,0,1,1,0,1090,1,0,0,0,0,0,0,0,ל׳׳ה
התת,0,0,1,0,0,0,0,1,1,0,1091,0,1,0,0,0,0,0,0,ע׳׳ע
גזה,1,0,0,0,0,0,0,1,1,0,1092,0,0,0,0,0,0,1,0,ל׳׳ה
שׁלג,0,0,0,1,0,0,0,1,1,0,1093,0,1,0,0,0,0,0,0,Fort
נין,0,1,0,0,0,0,0,1,1,0,1094,0,1,0,0,0,0,0,0,פ׳׳נ
רגשׁ,1,0,0,0,0,0,0,1,1,0,1095,1,0,0,0,0,0,0,0,Fort
חרג,1,0,0,0,0,0,0,1,1,0,1096,0,1,0,0,0,0,0,0,פ׳׳ג
פסס,1,0,0,0,0,0,0,1,1,0,1097,1,0,0,0,0,0,0,0,ע׳׳ע
שׂוט,1,0,0,0,0,0,0,1,1,0,1098,0,0,0,0,0,0,1,0,ע׳׳וי
נושׁ,1,0,0,0,0,0,0,1,1,0,1099,0,0,1,0,0,0,0,0,פ׳׳נ
