,Paal,Nifal,Piel,Hifil,Hitpael,Hofal,Pual,Total,Common,Uncommon,Rank,Accompli,Inaccompli,Wayyiqtol,Impératif,Infinitif Absolu,Infinitif Construit,Participe Présent,Participe Présent Passif,Classe
נטע,57,1,0,0,0,0,0,58,58,0,197,28,9,7,4,0,5,3,2,פ׳׳נ
חדל,58,0,0,0,0,0,0,58,58,0,198,19,18,8,12,0,1,0,0,פ׳׳ג
פעל,57,0,0,0,0,0,0,57,57,0,199,17,10,1,0,0,1,28,0,ע׳׳ג
רחק,29,0,4,24,0,0,0,57,57,0,200,21,19,1,7,4,5,0,0,ע׳׳ג
רצה,46,7,1,1,1,0,0,56,56,0,201,14,28,3,2,0,4,3,2,ל׳׳ה
זרע,46,6,0,3,0,0,1,56,56,0,202,11,24,3,4,0,1,11,2,ל׳׳ג
צעק,47,6,1,1,0,0,0,55,55,0,203,10,11,25,3,1,1,4,0,ע׳׳ג
ברא,38,10,5,1,0,0,0,54,54,0,204,26,2,2,3,1,6,14,0,ל׳׳א
נדח,1,24,0,27,0,1,1,54,54,0,205,22,3,4,1,0,5,17,2,פ׳׳נ
כעס,6,0,2,46,0,0,0,54,54,0,206,11,5,7,0,0,26,5,0,ע׳׳ג
אבה,54,0,0,0,0,0,0,54,54,0,207,42,11,0,0,0,0,1,0,פ׳׳א
יצק,42,0,0,3,0,9,0,54,54,0,208,14,6,14,3,0,2,1,14,פ׳׳וי
חזה,54,0,0,0,0,0,0,54,54,0,209,21,19,3,4,0,2,5,0,ל׳׳ה
דבק,39,0,0,12,0,1,2,54,54,0,210,21,19,10,0,0,3,0,1,Fort
חתת,17,30,2,5,0,0,0,54,54,0,211,19,31,1,3,0,0,0,0,ע׳׳ע
מדד,43,3,6,0,1,0,0,53,53,0,212,17,7,28,0,0,1,0,0,ע׳׳ע
רנן,19,0,28,5,0,0,1,53,53,0,213,2,32,1,15,2,1,0,0,Fort
חרם,1,0,0,48,0,3,0,52,52,0,214,19,8,9,3,5,7,0,1,פ׳׳ג
כבס,3,0,44,0,0,0,2,51,49,2,215,20,21,2,2,0,2,4,0,Fort
בקע,16,15,12,2,2,1,3,51,51,0,216,17,11,13,1,0,4,3,2,ל׳׳ג
פרר,1,0,2,43,1,3,0,50,50,0,217,16,12,4,3,3,10,2,0,ע׳׳ע
